Iter,Loss
1.0000e+02,1.2713e+00
2.0000e+02,1.1088e+00
3.0000e+02,1.0096e+00
4.0000e+02,9.1402e-01
5.0000e+02,7.9233e-01
6.0000e+02,6.3541e-01
7.0000e+02,5.3439e-01
8.0000e+02,4.7425e-01
9.0000e+02,4.2725e-01
1.0000e+03,3.8643e-01
1.1000e+03,3.5246e-01
1.2000e+03,3.2449e-01
1.3000e+03,3.0150e-01
1.4000e+03,2.8268e-01
1.5000e+03,2.6661e-01
1.6000e+03,2.5198e-01
1.7000e+03,2.3859e-01
1.8000e+03,2.2528e-01
1.9000e+03,2.1381e-01
2.0000e+03,2.0431e-01
2.1000e+03,1.9632e-01
2.2000e+03,1.8930e-01
2.3000e+03,1.8285e-01
2.4000e+03,1.7691e-01
2.5000e+03,1.7135e-01
2.6000e+03,1.6610e-01
2.7000e+03,1.6113e-01
2.8000e+03,1.5641e-01
2.9000e+03,1.5172e-01
3.0000e+03,1.4699e-01
3.1000e+03,1.4218e-01
3.2000e+03,1.3751e-01
3.3000e+03,1.3306e-01
3.4000e+03,1.2909e-01
3.5000e+03,1.2544e-01
3.6000e+03,1.2223e-01
3.7000e+03,1.1929e-01
3.8000e+03,1.1664e-01
3.9000e+03,1.1421e-01
4.0000e+03,1.1198e-01
4.1000e+03,1.0985e-01
4.2000e+03,1.0786e-01
4.3000e+03,1.0593e-01
4.4000e+03,1.0414e-01
4.5000e+03,1.0245e-01
4.6000e+03,1.0088e-01
4.7000e+03,9.9416e-02
4.8000e+03,9.7987e-02
4.9000e+03,9.6606e-02
5.0000e+03,9.5249e-02
5.1000e+03,9.3935e-02
5.2000e+03,9.2654e-02
5.3000e+03,9.1324e-02
5.4000e+03,8.9991e-02
5.5000e+03,8.8670e-02
5.6000e+03,8.7401e-02
5.7000e+03,8.6239e-02
5.8000e+03,8.5111e-02
5.9000e+03,8.4088e-02
6.0000e+03,8.3114e-02
6.1000e+03,8.2221e-02
6.2000e+03,8.1369e-02
6.3000e+03,8.0559e-02
6.4000e+03,7.9781e-02
6.5000e+03,7.9067e-02
6.6000e+03,7.8283e-02
6.7000e+03,7.7536e-02
6.8000e+03,7.6795e-02
6.9000e+03,7.6064e-02
7.0000e+03,7.5342e-02
7.1000e+03,7.4634e-02
7.2000e+03,7.3953e-02
7.3000e+03,7.3317e-02
7.4000e+03,7.2703e-02
7.5000e+03,7.2136e-02
7.6000e+03,7.1579e-02
7.7000e+03,7.1053e-02
7.8000e+03,7.0536e-02
7.9000e+03,7.0036e-02
8.0000e+03,6.9541e-02
8.1000e+03,6.9055e-02
8.2000e+03,6.8595e-02
8.3000e+03,6.8092e-02
8.4000e+03,6.7618e-02
8.5000e+03,6.7171e-02
8.6000e+03,6.6735e-02
8.7000e+03,6.6322e-02
8.8000e+03,6.5924e-02
8.9000e+03,6.5728e-02
9.0000e+03,6.5175e-02
9.1000e+03,6.4814e-02
9.2000e+03,6.4459e-02
9.3000e+03,6.4115e-02
9.4000e+03,6.3773e-02
9.5000e+03,6.3433e-02
9.6000e+03,6.3104e-02
9.7000e+03,6.3259e-02
9.8000e+03,6.2453e-02
9.9000e+03,6.2144e-02
1.0000e+04,6.1826e-02
1.0100e+04,6.1522e-02
1.0200e+04,6.1242e-02
1.0300e+04,6.0984e-02
1.0400e+04,6.0723e-02
1.0500e+04,6.0490e-02
1.0600e+04,6.0263e-02
1.0700e+04,6.0050e-02
1.0800e+04,5.9940e-02
1.0900e+04,5.9644e-02
1.1000e+04,5.9454e-02
1.1100e+04,5.9267e-02
1.1200e+04,5.9088e-02
1.1300e+04,5.8908e-02
1.1400e+04,5.8735e-02
1.1500e+04,5.8569e-02
1.1600e+04,5.8414e-02
1.1700e+04,5.8257e-02
1.1800e+04,5.8122e-02
